hash,pluginkey,shortname,longname
AO_B8B557,de.syracom.jira.plugins.securelogin,securelogin,Secure Login for JIRA
AO_91A39F,distributed-estimation-planning,distribest,Distributed Estimation
AO_D0CA64,dufjc,massdelete,Mass Delete for JIRA
AO_0456E7,eu.softwareplant.bigpicture,bigpicture,BigPicture
AO_698B6A,eu.thesilverlining.jira.server.agilesprintgoals.jira-server-sprint-goals-plugin,agilesprintgoals,Agile Sprint Goals
AO_6B485E,fr.gfi.jira.plugin.in-mail-handler,inmailhandler,In-Mail Handler PRO
AO_377A17,fr.gfi.jira.plugins.runner,coderunner,Code Runner
AO_4AED16,helpdesk.helpdesk-for-jira,helpdesk,HelpDesk for JIRA - Support Portal
AO_0C0737,info.renjithv.jira.addons.threadedcomments.threaded-comments,threadedcomments,JIRA Threaded Comments
AO_9DE8AC,io.extensi.jira.plugin.agileboardfilter,agiltools,Agile Tools & Filters for Jira Software
AO_F33F82,io.toolsplus.atlassian.connect.jira.intercom,intercom,Intercom for Jira
AO_A18366,jh.atlassian.jira.timetracking.jira-trock,trock,TROCK Timetracking Overview And Logging
AO_9ED7BE,jira-chronos,chronos,jira-chronos
AO_B4101D,jira-microsoft-teams-connector,msteams,Microsoft Teams Jira Connector
AO_311E07,jira-relatedissues-plugin,related,Related Issues
AO_E24DEA,jira-timesheet-plugin,timesheet,Timesheet Reports and Gadgets
AO_9661E7,jira.plugin.projectspecificselectfield.jpssf,pssf,Project Specific Select Field
AO_4811F4,jiracustomfieldeditorplugin,cfeditor,Customfield Editor for Jira
AO_B64EA1,jp.ricksoft.plugins.alfresco-for-jira,alfresco,alfresco-for-jira
AO_48D2EA,jp.ricksoft.plugins.excel4jira,excel4jira,Excel-like Issue Editor for Jira
AO_67BD6E,jp.ricksoft.plugins.wbsgantt-for-jira,wbsgantt,WBS Gantt-Chart for Jira
AO_050302,jsd-status-page,jsdstatuspage,Statuspage for Jira Service Desk
AO_04990F,lambda-plugin,expressioncols,Expression Columns add-on for JIRA
AO_756F83,net.auresso.jira.plugin.jelus,jelus,JELUS Enterprise LDAP User Synchronization
AO_503A94,net.brokenbuild.issue-type-resolutions,issuetyperesolutions,Issue Type Resolutions for JIRA
AO_E74470,net.brokenbuild.project-priorities,projpriorities,Project Priorities for Jira
AO_E8E966,net.brokenbuild.subcomponents,subcomponents,Subcomponents for Jira
AO_27DE84,net.brokenbuild.subversions,subversions,Versions Hierarchy
AO_687793,net.collabsoft.plugins.jira.jira-version-sync,jiraversionsync,Version and Component Sync for Atlassian JIRA
AO_15241E,net.comerge.joggler,toggl,Toggl integration for JIRA
AO_3A3ECC,net.customware.plugins.connector.atlassian.jira-connector-plugin,servicerocket,ServiceRocket JIRA Connector - Plugin
AO_88DE6A,net.customware.plugins.connector.core.core-connector-plugin,servicerocket,ServiceRocket Core Connector - Plugin
AO_72EDB4,net.koncis.atlassian.issue-type-notification-schemes,issuetypenotificationschemes,Issue Type Notification Schemes
AO_DDF8A3,net.koncis.atlassian.jira-issue-edit-lock,issuelock,JIRA Issue Lock (who's editing)
AO_D4AF4C,net.luethi.plugins.jira.apn4jiraconnect,mobility,Mobility for JIRA
AO_88CD22,net.seibertmedia.jira.plugin.instaprinta,instaprinta,InstaPrinta - Print JIRA issues directly
AO_F64AB2,net.seibertmedia.jira.plugins.collective-issue-view,collectiveview,Collective Issue View
AO_C87C73,net.seibertmedia.jira.plugins.issue-calendar-sync,ics,ICS - Issue Calendar Sync for JIRA
AO_9F9188,net.seibertmedia.jira.plugins.project-archiver,projarchiver,Project Archiver for JIRA
AO_A1168D,net.utoolity.atlassian.jira.identity-federation-for-aws-jira,awsid,Identity Federation for AWS (Jira)
AO_A0A7C0,net.vacom.jirassimo,raleynotif,Raley Notifications for JIRA Server
AO_96E78C,net.youngaweb.jira.issue-type-ui-filter,issuetypefilters,Issue Type Filters
AO_84DB96,nl.avisi.jira.plugins.relations-for-jira,atlascrm,Atlas CRM
AO_91C093,org.everit.jira.timetracker.plugin,timetracker,Timetracker Plugin
AO_D53E8E,org.swift.jira.clone-plus,cloneplus,Bob Swift Atlassian Add-ons - Clone Plus for Jira
AO_C5CA76,org.swift.jira.cot,createontransition,Bob Swift Atlassian Add-ons - Create on Transition
AO_FEDBA1,org.swift.jira.cw,updateontransition,Bob Swift Atlassian Add-ons - Update on Transition
AO_4634D4,org.techtime.jira.plugins.usermanagement,usermanagement,TechTime User Management for JIRA
AO_CEA560,pl.com.tt.admintoolsforjira.AdminToolsForJira,admintools,Admin Tools for JIRA
AO_680A11,pl.com.tt.apdc.vacation-manager,vacation,Vacation Manager for JIRA
AO_16D9EC,pl.com.tt.jira.plugin.excel2jira,excel2jira,Excel Connector for JIRA
AO_A406ED,pl.com.tt.jira.plugin.theschedulerpro,thescheduler,The Scheduler
AO_AD8E0F,pl.com.tt.mailtask.MailTask,mailtask,EmailTask
AO_154E16,pl.intenso.jira.trello.trello-sync,trello,Trello Sync for JIRA
AO_FDF29B,plugin.jep,enhancer,Enhancer Plugin for JIRA
AO_23ADAF,plugin.jip,assets,Assets and Inventory Plugin for JIRA
AO_C5D949,plugin.tts,timetosla,Time to SLA
AO_6797AA,pro.behave.hosted,behave,Behave Pro for JIRA Agile
AO_2DDF0D,qffj,queryfeed,Query Feed for JIRA
AO_5D733E,rs.codecentric.label-manager-project,labelmanager,Label Manager for Jira
AO_47E0AA,ru.andreymarkelov.atlas.plugins.signaturefields,esigfields,Electronic Signature Fields
AO_2FC5DA,ru.mail.jira.plugins.groovy,mygroovy,MyGroovy
AO_DBF70C,ru.mail.jira.plugins.jsincluder,jsincluder,JsIncluder
AO_0DB21A,ru.mail.jira.plugins.mailrucal,mailrucal,Mail.Ru Calendar
AO_A9375F,ru.mail.jira.plugins.todolist,mytodo,My ToDo
AO_A72509,ru.slie.jira.graty-issue-panel,graty,Graty issue panel
AO_C5350F,ru.slie.jira.sync-fields,syncfields,Sync Fields
AO_A3CCC5,ru.teamlead.jira.plugins.agile-filters-for-jira,agilefilters,Agile Filters for JIRA
AO_EAB919,ru.teamlead.jira.plugins.reminder-for-jira,reminder,Reminder for JIRA
AO_5CF617,ru.teamlead.jira.plugins.subscriptions-for-jira,subscriptions,Subscriptions for JIRA
AO_9F39CD,ru.teamlead.jira.plugins.teamlead-crm-plugin-for-jira,teamleadcrm,CRM for JIRA - Customers and Sales
AO_0BB235,ru.teamlead.jira.plugins.teamlead-toolkit,tltoolkit,Teamlead ToolKit
AO_E970DC,ru.teamlead.jira.plugins.teamlead-unread-issues-plugin-for-jira,unreadissues,Teamlead Unread Issues Plugin for JIRA
AO_4FE048,ru.teamlead.jira.plugins.teamlead-werewolf-for-jira,werewolf,Teamlead Werewolf for JIRA
AO_4C6FC2,slack-standup-bot-jira,standbot,Stand-bot - Slack stand-up bot for Jira Server
AO_A5E733,softwareplant.bigpictureenterprise,bigpicture,BigPicture Enterprise
AO_2E9800,systems.npe.jira.prjorg,projgroups,Project Groups for JIRA
AO_E115BF,tge.cloud,tablegrid,Table Grid Next Generation
AO_5D285B,toggl,toggl,Toggl for JIRA
AO_3CA953,uk.co.commercecomputing.users,bulkusercreate,Bulk User Creator
AO_19C9CB,vfjc,visualizer,Visualizer for JIRA
AO_FF0AC4,vivid.trace,vividtrace,Vivid Trace for JIRA
